level,source_file,label,url
UG,UG FOREIGN Program_Process.pdf,foreign_proc,https://vit.ac.in/school/course/smec/ug
UG,Academic Fee.pdf,acad_fee,https://vit.ac.in/admissions/international/integrated
UG,FEE STRUCTURE INTERNATIONAL ADMISSIONS.pdf,intl_fee,https://vit.ac.in/engineering-programmes-vellore-campus
UG,Document Submission.pdf,doc_submit,https://admissions.vit.ac.in/freshersportal/login
UG,Document Submission.pdf,doc_submit,https://vit.ac.in/sites/default/files/ug/Affidavit_Student-2025.pdf
UG,Document Submission.pdf,doc_submit,https://vit.ac.in/sites/default/files/ug/Affidavit_Parent-2025.pdf
UG,Document Submission.pdf,doc_submit,https://vit.ac.in/sites/default/files/ug/Hostel-Joint-Affidavit-2025.pdf
UG,Document Submission.pdf,doc_submit,https://vit.ac.in/sites/default/files/ug/Certificate-of-Physical-Fitness-2025.pdf
UG,Document Submission.pdf,doc_submit,https://vit.ac.in/sites/default/files/ug/Undertaking-Form-2025.pdf
UG,Document Submission.pdf,doc_submit,https://vit.ac.in/wp-content/uploads/2023/09/EmployerCertificate.pdf
UG,Document Submission.pdf,doc_submit,https://vit.ac.in/wp-content/uploads/2023/09/SponsorshipLetter.pdf
UG,UG DOCUMENTS DOWNLOAD.pdf,ug_downloads,https://vit.ac.in/sites/default/files/ug/Undertaking-Form-2025.pdf
UG,UG DOCUMENTS DOWNLOAD.pdf,ug_downloads,https://vit.ac.in/sites/default/files/ug/Affidavit_Student-2025.pdf
UG,UG DOCUMENTS DOWNLOAD.pdf,ug_downloads,https://vit.ac.in/sites/default/files/ug/Affidavit_Parent-2025.pdf
UG,UG DOCUMENTS DOWNLOAD.pdf,ug_downloads,https://vit.ac.in/sites/default/files/ug/Hostel-Joint-Affidavit-2025.pdf
UG,UG DOCUMENTS DOWNLOAD.pdf,ug_downloads,https://vit.ac.in/sites/default/files/ug/Certificate-of-Physical-Fitness-2025.pdf
