level,program,category,ay,tuition,one_time,caution,total,currency,source_file
UG,B.Tech,NRI/Foreign,2025-26,9000,,100,9100,USD,FEE STRUCTURE INTERNATIONAL ADMISSIONS.pdf
UG,Integrated M.Tech. (5 Years),NRI/Foreign,2025-26,5500,,100,5600,USD,FEE STRUCTURE INTERNATIONAL ADMISSIONS.pdf
UG,Integrated M.Sc. (5 Years),NRI/Foreign,2025-26,3450,,50,3500,USD,FEE STRUCTURE INTERNATIONAL ADMISSIONS.pdf
UG,BCA,NRI/Foreign,2025-26,3450,,50,3500,USD,FEE STRUCTURE INTERNATIONAL ADMISSIONS.pdf
UG,B.Sc. (Computer Science),NRI/Foreign,2025-26,3450,,50,3500,USD,FEE STRUCTURE INTERNATIONAL ADMISSIONS.pdf
UG,B.Com,NRI/Foreign,2025-26,3450,,50,3500,USD,FEE STRUCTURE INTERNATIONAL ADMISSIONS.pdf
UG,BBA,NRI/Foreign,2025-26,3450,,50,3500,USD,FEE STRUCTURE INTERNATIONAL ADMISSIONS.pdf
UG,B.Sc. (Multimedia and Animation),NRI/Foreign,2025-26,4250,,50,4300,USD,FEE STRUCTURE INTERNATIONAL ADMISSIONS.pdf
