document_required
X and XII Std. Marks statement
Mark sheets of all semesters/years of qualifying exam up to pre-final/final year (as applicable)
Qualifying Degree / Provisional Certificate (if already received)
"Transfer/Migration/College Leaving Certificate (Original, if received)"
Valid GATE Score Card (if available)
Service Certificate from Employer (for sponsored candidates - M.Tech only)
Community Certificate (only for SC/ST categories)
Conduct Certificate (Original)
Admission letter and photocopy of programme fee receipt
Four recent passport-size colour photographs
Undertaking for good conduct and behavior (prescribed form)
Affidavit by Student (₹200 stamp paper)
Affidavit by Parent (₹200 stamp paper)
Physical Fitness Certificate
Aadhaar card (to be uploaded during application)
