level,program,category,ay,tuition,one_time,caution,total,currency,year,notes,source_file
PG,MCA,Indian,,"₹ 137,000","₹ 3,000 (Caution, refundable)","₹ 3,000","₹ 140,000",INR,Year 1,Refund policy per UGC norms,MCA 2 Years PG Program.pdf
PG,MCA,Indian,,"₹ 137,000",—,—,"₹ 137,000",INR,Year 2,,MCA 2 Years PG Program.pdf
